date,account,category,amount,currency,converted amount,currency,description
29/11/2023,Bank account,Food,-110,INR,-110,INR,Biryani 
29/11/2023,Bank account,Food,-20,INR,-20,INR,Yoghurt 
29/11/2023,Bank account,Eggs,-50,INR,-50,INR,Eggs
29/11/2023,Bank account,Groceries,-80,INR,-80,INR,Oats
29/11/2023,Bank account,Groceries,-20,INR,-20,INR,Milk
30/11/2023,Bank account,Groceries,-199,INR,-199,INR,Chicken breast boneless
30/11/2023,Bank account,Groceries,-70,INR,-70,INR,Chapati
30/11/2023,Bank account,Groceries,-24,INR,-24,INR,Curd
30/11/2023,Bank account,Food,-20,INR,-20,INR,Yoghurt 
30/11/2023,Bank account,Groceries,-106,INR,-106,INR,Peanut 
30/11/2023,Bank account,Groceries,-20,INR,-20,INR,Milk
30/11/2023,Bank account,Eggs,-42,INR,-42,INR,Eggs
30/11/2023,Bank account,Entertainment,-240,INR,-240,INR,Movie Ticket
30/11/2023,Bank account,Petrol,-100,INR,-100,INR,Petrol MT
30/11/2023,Bank account,Transport,-253,INR,-253,INR,Parking 
30/11/2023,Bank account,Food,-150,INR,-150,INR,Chicken kathi roll
01/12/2023,Bank account,Food,-10,INR,-10,INR,Tea
01/12/2023,Bank account,Sports,-140,INR,-140,INR,Football 
01/12/2023,Bank account,Food,-80,INR,-80,INR,Butter chicken 
01/12/2023,Bank account,Food,-80,INR,-80,INR,Beef tawa
02/12/2023,Bank account,Transport,-15,INR,-15,INR,Delivery 
02/12/2023,Bank account,Groceries,-30,INR,-30,INR,Milk
02/12/2023,Bank account,Groceries,-30,INR,-30,INR,Banana
02/12/2023,Bank account,Food,-75,INR,-75,INR,Chilli chicken 
03/12/2023,Bank account,Food,-10,INR,-10,INR,Tea
03/12/2023,Bank account,Food,-20,INR,-20,INR,Orange lays
03/12/2023,Bank account,Food,-27,INR,-27,INR,Lays maxx
03/12/2023,Bank account,Groceries,-23,INR,-23,INR,Yoghurt
03/12/2023,Bank account,Groceries,-40,INR,-40,INR,Pasta 
03/12/2023,Bank account,Groceries,-22,INR,-22,INR,Milk 
03/12/2023,Bank account,Groceries,-100,INR,-100,INR,Dark fantasy 
03/12/2023,Bank account,Transport,-25,INR,-25,INR,Delivery zepto
04/12/2023,Bank account,Food,-150,INR,-150,INR,Dosa
05/12/2023,Bank account,Food,-200,INR,-200,INR,Masala dosa
05/12/2023,Bank account,Food,-20,INR,-20,INR,Water
05/12/2023,Bank account,Food,-250,INR,-250,INR,Kfc
05/12/2023,Bank account,House,"-3,600",INR,"-3,600",INR,Rent
06/12/2023,Bank account,Car,"-1,200",INR,"-1,200",INR,Wheel alignment 
06/12/2023,Bank account,Car,"-1,000",INR,"-1,000",INR,Petrol
06/12/2023,Bank account,Groceries,-35,INR,-35,INR,Milk
06/12/2023,Bank account,Toiletry,-98,INR,-98,INR,Shower gel
06/12/2023,Bank account,Toiletry,-71,INR,-71,INR,Shampoo
06/12/2023,Bank account,Toiletry,-89,INR,-89,INR,Conditioner 
06/12/2023,Bank account,Groceries,-250,INR,-250,INR,Honey
06/12/2023,Bank account,Toiletry,-98,INR,-98,INR,Hair cream
07/12/2023,Bank account,Health,"-1,763",INR,"-1,763",INR,Whey protein biozyme 
07/12/2023,Bank account,Car,"-1,150",INR,"-1,150",INR,Spark plug 
07/12/2023,Bank account,Food,-36,INR,-36,INR,Chapati
07/12/2023,Bank account,Health,-600,INR,-600,INR,Gym fees
07/12/2023,Bank account,Groceries,-20,INR,-20,INR,Banana
07/12/2023,Bank account,Friends ,-36,INR,-36,INR,Cig yash
08/12/2023,Bank account,Food,-69,INR,-69,INR,Snacks
08/12/2023,Bank account,Food,-407,INR,-407,INR,Lunch
08/12/2023,Bank account,Transport,-334,INR,-334,INR,Petrol
08/12/2023,Bank account,Transport,-360,INR,-360,INR,Toll 
09/12/2023,Bank account,House,-906,INR,-906,INR,Maintenance + Waterbill 
10/12/2023,Bank account,Transport,"-1,900",INR,"-1,900",INR,Petrol i10
11/12/2023,Bank account,Food,-20,INR,-20,INR,Banana
12/12/2023,Bank account,Food,-230,INR,-230,INR,Dinner
12/12/2023,Bank account,Car,-500,INR,-500,INR,Fine city
12/12/2023,Bank account,Car,"-1,500",INR,"-1,500",INR,Petrol 
12/12/2023,Bank account,Food,-152,INR,-152,INR,Caesar salad
13/12/2023,Bank account,Food,-36,INR,-36,INR,Chapati
14/12/2023,Bank account,Groceries,-80,INR,-80,INR,Strawberry 
14/12/2023,Bank account,Bills,-60,INR,-60,INR,Spotify premium
15/12/2023,Bank account,Food,-300,INR,-300,INR,Food 
17/12/2023,Bank account,Food,-38,INR,-38,INR,Kinder joy
18/12/2023,Bank account,Food,-160,INR,-160,INR,Biriyani lunch
19/12/2023,Bank account,Food,-60,INR,-60,INR,Oreo shake
19/12/2023,Bank account,House,-50,INR,-50,INR,Nail cutter 
20/12/2023,Bank account,Car,-450,INR,-450,INR,Car wash
20/12/2023,Bank account,Food,-170,INR,-170,INR,Dinner
22/12/2023,Bank account,Food,-350,INR,-350,INR,Lunch
23/12/2023,Bank account,Entertainment,-177,INR,-177,INR,Movie
23/12/2023,Bank account,Food,-200,INR,-200,INR,Biriyani 
23/12/2023,Bank account,Food,-50,INR,-50,INR,Snacks 
25/12/2023,Bank account,Food,-24,INR,-24,INR,Chapati
25/12/2023,Bank account,Transport,-10,INR,-10,INR,Bus
26/12/2023,Bank account,Car,"-19,300",INR,"-19,300",INR,Compressor+condensor
26/12/2023,Bank account,Car,"-7,000",INR,"-7,000",INR,Car labour + parts
28/12/2023,Bank account,Food,-200,INR,-200,INR,Alfahm
28/12/2023,Bank account,Food,-239,INR,-239,INR,Petrol and food
28/12/2023,Bank account,Health,-450,INR,-450,INR,Haircut
29/12/2023,Bank account,Food,-552,INR,-552,INR,Food dinner
29/12/2023,Bank account,Car,"-1,000",INR,"-1,000",INR,Petrol taigun
30/12/2023,Bank account,Car,-800,INR,-800,INR,Petrol taigun
31/12/2023,Bank account,Car,-500,INR,-500,INR,Petrol taigun 
31/12/2023,Bank account,Car,-500,INR,-500,INR,Petrol etios
31/12/2023,Bank account,Food,-332,INR,-332,INR,Food kps
31/12/2023,Bank account,Transport,"-2,200",INR,"-2,200",INR,Bus to chennai
31/12/2023,Bank account,Entertainment,-150,INR,-150,INR,Petrol and juice 
31/12/2023,Bank account,Car,-300,INR,-300,INR,Petrol etios
02/01/2024,Bank account,Food,-200,INR,-200,INR,Shawarma
02/01/2024,Bank account,Food,-250,INR,-250,INR,Pizza
03/01/2024,Bank account,Communications,-300,INR,-300,INR,Earphone jack
03/01/2024,Bank account,Food,-100,INR,-100,INR,Dinner
04/01/2024,Bank account,Groceries,-100,INR,-100,INR,Smoothie
04/01/2024,Bank account,Food,-120,INR,-120,INR,Chicken rice
04/01/2024,Bank account,Food,-75,INR,-75,INR,Soup
04/01/2024,Bank account,Food,-135,INR,-135,INR,Dinner 
05/01/2024,Bank account,Food,-140,INR,-140,INR,Biriyani
05/01/2024,Bank account,Transport,-40,INR,-40,INR,Auto
05/01/2024,Bank account,Food,-40,INR,-40,INR,Watermelon juice
05/01/2024,Bank account,Food,-55,INR,-55,INR,Dinner
06/01/2024,Bank account,Groceries,-135,INR,-135,INR,Groceries 
06/01/2024,Bank account,Food,-155,INR,-155,INR,Lunch
06/01/2024,Bank account,Sports,-120,INR,-120,INR,Football 
06/01/2024,Bank account,Food,-35,INR,-35,INR,Dinner
07/01/2024,Bank account,Bills,-130,INR,-130,INR,Autopay Google
07/01/2024,Bank account,Food,-100,INR,-100,INR,Biriyani 
07/01/2024,Bank account,Food,-45,INR,-45,INR,Chips and water
07/01/2024,Bank account,Transport,-10,INR,-10,INR,Train 
07/01/2024,Bank account,Food,-250,INR,-250,INR,Dinner
08/01/2024,Bank account,Car,-500,INR,-500,INR,Petrol city
09/01/2024,Bank account,Car,-400,INR,-400,INR,Ac belt
10/01/2024,Bank account,Transport,-40,INR,-40,INR,Auto
10/01/2024,Bank account,Food,-450,INR,-450,INR,Food 
10/01/2024,Bank account,Entertainment,-500,INR,-500,INR,Gaming sim racing 
10/01/2024,Bank account,Transport,-30,INR,-30,INR,Bus 
